Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Staff_Service,F&B,Inflight_Entertainment,Ground_Service,Value_For_Money,Recommended,Airlines,Start_point,End_point
Business,Business Class,CDG to LAX,October 2015,4.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,CDG,LAX
Solo Leisure,First Class,Paris to Singapore,July 2015,5.0,4.0,4.0,5.0,5.0,4.0,Yes,air-france,Paris,Singapore
Couple Leisure,Business Class,CDG to BOS,September 2015,4.0,4.0,4.0,2.0,3.0,3.0,Yes,air-france,CDG,BOS
Couple Leisure,Business Class,JFK to CDG,September 2015,5.0,4.0,4.0,2.0,5.0,3.0,Yes,air-france,JFK,CDG
Solo Leisure,Premium Economy,Singapore to Paris CDG,September 2015,4.0,4.0,4.0,5.0,5.0,5.0,Yes,air-france,Singapore,Paris CDG
Solo Leisure,Economy Class,SCL to EDI via CDG,September 2015,3.0,4.0,5.0,4.0,4.0,3.0,Yes,air-france,SCL,EDI
Couple Leisure,Economy Class,BUD to SFO via CDG,September 2015,5.0,5.0,5.0,5.0,5.0,5.0,Yes,air-france,BUD,SFO
Business,Business Class,Paris to Guangzhou,September 2015,5.0,5.0,5.0,5.0,4.0,5.0,Yes,air-france,Paris,Guangzhou
Couple Leisure,Economy Class,JNB to LHR via CDG,October 2015,3.0,4.0,1.0,1.0,1.0,1.0,No,air-france,JNB,LHR
Solo Leisure,Economy Class,IAD to CDG,September 2015,2.0,5.0,3.0,4.0,1.0,3.0,No,air-france,IAD,CDG
Couple Leisure,Business Class,IAD to CDG,September 2015,2.0,4.0,3.0,3.0,1.0,1.0,No,air-france,IAD,CDG
Family Leisure,Business Class,CDG to LIN,September 2015,4.0,5.0,4.0,1.0,3.0,3.0,No,air-france,CDG,LIN
Couple Leisure,Economy Class,PVG to CDG,September 2015,4.0,5.0,4.0,5.0,3.0,5.0,Yes,air-france,PVG,CDG
Family Leisure,Economy Class,LHR to BUD via CDG,August 2015,4.0,3.0,4.0,3.0,4.0,4.0,Yes,air-france,LHR,BUD
Solo Leisure,Economy Class,Paris to Antananarivo,September 2015,3.0,5.0,2.0,5.0,5.0,5.0,Yes,air-france,Paris,Antananarivo
Solo Leisure,Economy Class,LAX to CDG,September 2015,3.0,5.0,4.0,3.0,5.0,5.0,Yes,air-france,LAX,CDG
Couple Leisure,Economy Class,SFO to ZRH via CDG,September 2015,5.0,5.0,4.0,3.0,3.0,4.0,Yes,air-france,SFO,ZRH
Business,Business Class,Paris to Johannesburg,September 2015,4.0,5.0,4.0,5.0,5.0,4.0,Yes,air-france,Paris,Johannesburg
Family Leisure,Premium Economy,JFK to CDG,September 2015,3.0,5.0,4.0,4.0,4.0,4.0,Yes,air-france,JFK,CDG
Solo Leisure,Economy Class,MVD to CDG via EZE,August 2015,3.0,5.0,4.0,4.0,4.0,4.0,Yes,air-france,MVD,CDG
Business,Business Class,Beijing to Casablanca via CDG,September 2015,4.0,3.0,2.0,3.0,5.0,3.0,Yes,air-france,Beijing,Casablanca
Business,Premium Economy,Jakarta to Singapore,September 2015,4.0,5.0,4.0,5.0,4.0,5.0,Yes,air-france,Jakarta,Singapore
Business,First Class,MAN to SFO via CDG,August 2015,5.0,5.0,4.0,3.0,5.0,4.0,Yes,air-france,MAN,SFO
Solo Leisure,Business Class,IAD to CDG,August 2015,3.0,4.0,2.0,3.0,3.0,5.0,Yes,air-france,IAD,CDG
Solo Leisure,Business Class,CDG to IAD,August 2015,4.0,5.0,4.0,4.0,3.0,5.0,Yes,air-france,CDG,IAD
Couple Leisure,Economy Class,Houston to Athens via CDG,September 2015,2.0,5.0,3.0,4.0,3.0,3.0,No,air-france,Houston,Athens
Solo Leisure,Business Class,Houston to Paris CDG return,August 2015,5.0,5.0,5.0,3.0,1.0,2.0,No,air-france,Houston,Paris CDG return
Couple Leisure,Business Class,BHX to JFK via CDG,August 2015,4.0,5.0,4.0,4.0,3.0,5.0,Yes,air-france,BHX,JFK
Solo Leisure,Premium Economy,CDG to SFO,September 2015,1.0,5.0,4.0,4.0,4.0,1.0,No,air-france,CDG,SFO
Couple Leisure,Economy Class,AMS to JFK via CDG,August 2015,4.0,5.0,4.0,4.0,4.0,3.0,Yes,air-france,AMS,JFK
Business,Economy Class,Manchester to Tokyo via Paris,August 2015,4.0,5.0,5.0,4.0,4.0,4.0,Yes,air-france,Manchester,Tokyo
Couple Leisure,Business Class,GVA to IAD via CDG,August 2015,4.0,4.0,5.0,3.0,3.0,5.0,Yes,air-france,GVA,IAD
Business,Premium Economy,Paris to Johannesburg,August 2015,4.0,5.0,5.0,4.0,5.0,4.0,Yes,air-france,Paris,Johannesburg
Business,Business Class,Washington DC to CDG,January 2015,4.0,4.0,4.0,4.0,3.0,3.0,Yes,air-france,Washington DC,CDG
Solo Leisure,Economy Class,New-York to Paris,August 2015,5.0,5.0,5.0,4.0,4.0,4.0,Yes,air-france,New-York,Paris
Business,Business Class,CDG to LIS,August 2015,1.0,2.0,1.0,1.0,2.0,1.0,No,air-france,CDG,LIS
Business,Economy Class,Paris to Johannesburg,July 2015,5.0,5.0,5.0,5.0,3.0,4.0,Yes,air-france,Paris,Johannesburg
Solo Leisure,Economy Class,Delhi to Paris,August 2015,4.0,5.0,1.0,3.0,3.0,3.0,Yes,air-france,Delhi,Paris
Couple Leisure,Business Class,Paris to Guangzhou,August 2015,5.0,5.0,5.0,1.0,4.0,5.0,Yes,air-france,Paris,Guangzhou
Solo Leisure,Economy Class,Paris-CDG to Milan-LIN,July 2015,5.0,4.0,4.0,1.0,4.0,5.0,Yes,air-france,Paris-CDG,Milan-LIN
Business,Premium Economy,FCO to JNB via CDG,March 2015,4.0,4.0,3.0,3.0,4.0,3.0,Yes,air-france,FCO,JNB
Couple Leisure,Economy Class,CDG to Shanghai,May 2015,4.0,5.0,4.0,4.0,4.0,4.0,Yes,air-france,CDG,Shanghai
Solo Leisure,Economy Class,Toronto to Paris,July 2015,5.0,4.0,5.0,5.0,4.0,4.0,Yes,air-france,Toronto,Paris
Solo Leisure,Business Class,Prague to Paris CDG,August 2015,3.0,5.0,3.0,4.0,5.0,5.0,Yes,air-france,Prague,Paris CDG
Business,Business Class,Perth to Vienna via CDG,April 2015,1.0,1.0,1.0,1.0,1.0,1.0,No,air-france,Perth,Vienna
Solo Leisure,Economy Class,TXL to TLS via ORY,August 2015,5.0,5.0,5.0,3.0,4.0,3.0,Yes,air-france,TXL,TLS
Couple Leisure,Economy Class,Paris to Toronto,August 2015,3.0,3.0,3.0,1.0,2.0,3.0,Yes,air-france,Paris,Toronto
Family Leisure,Economy Class,Athens to SFO via Paris,June 2015,2.0,5.0,4.0,5.0,4.0,4.0,Yes,air-france,Athens,SFO
Family Leisure,Economy Class,SFO to Barcelona via Paris,May 2015,3.0,5.0,3.0,4.0,4.0,3.0,Yes,air-france,SFO,Barcelona
Business,Business Class,Paris to Bucharest,August 2015,1.0,4.0,4.0,1.0,3.0,3.0,Yes,air-france,Paris,Bucharest
Family Leisure,Business Class,ATL to IST via CDG,July 2015,4.0,4.0,4.0,3.0,4.0,4.0,Yes,air-france,ATL,IST
Family Leisure,Economy Class,Paris to Riyadh,July 2015,3.0,5.0,5.0,2.0,3.0,3.0,Yes,air-france,Paris,Riyadh
Business,Business Class,MAD to PVG via CDG,July 2015,3.0,5.0,5.0,2.0,3.0,5.0,Yes,air-france,MAD,PVG
Couple Leisure,Premium Economy,Barcelona to San Francisco via Paris,July 2015,1.0,5.0,3.0,2.0,1.0,1.0,No,air-france,Barcelona,San Francisco
Family Leisure,Economy Class,Paris Orly to Strasbourg,July 2015,5.0,5.0,4.0,1.0,5.0,5.0,Yes,air-france,Paris Orly,Strasbourg
Business,Business Class,Paris to Istanbul,July 2015,1.0,2.0,1.0,1.0,3.0,1.0,No,air-france,Paris,Istanbul
Couple Leisure,Economy Class,Paris to Minneapolis,July 2015,2.0,1.0,1.0,3.0,1.0,1.0,No,air-france,Paris,Minneapolis
Family Leisure,Economy Class,YVR to NCE via CDG,July 2015,1.0,1.0,1.0,1.0,1.0,1.0,No,air-france,YVR,NCE
Couple Leisure,Economy Class,BHX to ORD via CDG,July 2015,3.0,4.0,4.0,2.0,3.0,3.0,Yes,air-france,BHX,ORD
Couple Leisure,Business Class,IAD to CDG,June 2015,4.0,3.0,3.0,1.0,1.0,1.0,No,air-france,IAD,CDG
Couple Leisure,Business Class,Hong Kong to Paris,July 2015,1.0,5.0,4.0,4.0,2.0,1.0,No,air-france,Hong Kong,Paris
Business,Economy Class,Birmingham to Paris CDG,July 2015,1.0,4.0,1.0,1.0,4.0,4.0,Yes,air-france,Birmingham,Paris CDG
Couple Leisure,Economy Class,Paris to Athens,May 2015,4.0,5.0,4.0,1.0,4.0,4.0,Yes,air-france,Paris,Athens
Family Leisure,Premium Economy,Vancouver to Bologna via Paris,June 2015,1.0,4.0,3.0,2.0,2.0,1.0,No,air-france,Vancouver,Bologna
Solo Leisure,Economy Class,LIN to CDG,June 2015,3.0,4.0,2.0,1.0,3.0,4.0,Yes,air-france,LIN,CDG
Solo Leisure,Economy Class,LHR to CDG,June 2015,4.0,5.0,3.0,1.0,4.0,5.0,Yes,air-france,LHR,CDG
Couple Leisure,Business Class,Washington to Athens via CDG,June 2015,4.0,4.0,4.0,3.0,1.0,1.0,No,air-france,Washington,Athens
Couple Leisure,Business Class,Dublin to Havana via Paris CDG,June 2015,3.0,4.0,2.0,3.0,2.0,2.0,No,air-france,Dublin,Havana
Couple Leisure,Economy Class,Pointe à Pitre to Munich via Paris,June 2015,2.0,5.0,5.0,3.0,3.0,4.0,Yes,air-france,Pointe à Pitre,Munich
Business,Economy Class,Strasbourg to Athens via Paris,June 2015,4.0,4.0,4.0,3.0,1.0,3.0,No,air-france,Strasbourg,Athens
Solo Leisure,Economy Class,Paris CDG  to Lyon,June 2015,4.0,5.0,4.0,1.0,5.0,5.0,Yes,air-france,Paris CDG ,Lyon
Solo Leisure,Economy Class,Singapore to Jakarta,June 2015,5.0,4.0,3.0,5.0,4.0,4.0,Yes,air-france,Singapore,Jakarta
Couple Leisure,Economy Class,LHR to Havana via CDG,June 2015,1.0,1.0,1.0,1.0,1.0,1.0,No,air-france,LHR,Havana
Couple Leisure,Premium Economy,YVR to TXL via CDG,May 2015,4.0,5.0,5.0,4.0,5.0,5.0,Yes,air-france,YVR,TXL
Couple Leisure,Economy Class,TXL to YVR via CDG,May 2015,3.0,5.0,5.0,4.0,5.0,4.0,Yes,air-france,TXL,YVR
Solo Leisure,Economy Class,CDG to JFK,June 2015,2.0,3.0,2.0,4.0,3.0,2.0,No,air-france,CDG,JFK
Couple Leisure,Economy Class,Miami to Paris via Direct,June 2015,1.0,4.0,2.0,4.0,3.0,1.0,No,air-france,Miami,Paris
Business,First Class,CDG to SIN,April 2015,4.0,3.0,2.0,3.0,5.0,2.0,No,air-france,CDG,SIN
Business,Business Class,Miami to Budapest via Paris,May 2015,4.0,1.0,1.0,3.0,5.0,1.0,No,air-france,Miami,Budapest
Business,Business Class,IAD-CDG-CAI,June 2015,5.0,5.0,5.0,4.0,1.0,3.0,Yes,air-france,Washington,Cairo
Solo Leisure,Economy Class,London to Larnaca,March 2023,5.0,5.0,1.0,1.0,5.0,5.0,Yes,british-airways,London,Larnaca
Family Leisure,Economy Class,Nice to London Heathrow,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Nice,London Heathrow
Solo Leisure,Economy Class,Las Vegas to Venice,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Las Vegas,Venice
Family Leisure,Premium Economy,London to New York,May 2023,4.0,4.0,3.0,5.0,4.0,4.0,Yes,british-airways,London,New York
Couple Leisure,Economy Class,Lisbon to London ,May 2023,1.0,3.0,1.0,1.0,1.0,2.0,No,british-airways,Lisbon,London 
Couple Leisure,Premium Economy,Dallas to Madrid via London,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Dallas,Madrid
Couple Leisure,Economy Class,London to Valencia,March 2023,4.0,4.0,1.0,1.0,5.0,4.0,Yes,british-airways,London,Valencia
Solo Leisure,Economy Class,London to Glasgow,May 2023,5.0,5.0,5.0,1.0,5.0,5.0,Yes,british-airways,London,Glasgow
Business,Business Class,London Heathrow to Malaga ,May 2023,2.0,2.0,3.0,1.0,1.0,1.0,No,british-airways,London Heathrow,Malaga 
Couple Leisure,Business Class,London to Nice,May 2023,2.0,3.0,3.0,1.0,4.0,1.0,No,british-airways,London,Nice
Solo Leisure,Business Class,London to San Francisco,September 2022,3.0,1.0,1.0,4.0,2.0,2.0,No,british-airways,London,San Francisco
Solo Leisure,Economy Class,London to Dallas,April 2023,1.0,1.0,3.0,3.0,1.0,1.0,No,british-airways,London,Dallas
Business,Economy Class,London to Madrid,May 2023,4.0,3.0,1.0,1.0,1.0,1.0,No,british-airways,London,Madrid
Solo Leisure,Economy Class,London to Belfast,May 2023,1.0,3.0,3.0,1.0,1.0,1.0,No,british-airways,London,Belfast
Couple Leisure,Business Class,Los Angeles to London,May 2023,5.0,5.0,4.0,5.0,1.0,1.0,No,british-airways,Los Angeles,London
Couple Leisure,Business Class,Atlanta to London,April 2023,4.0,3.0,1.0,2.0,1.0,1.0,No,british-airways,Atlanta,London
Solo Leisure,Business Class,Sydney to London via Singapore,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Sydney,London
Solo Leisure,Business Class,Heathrow to Faro,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Heathrow,Faro
Business,Economy Class,London to Barcelona,May 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,London,Barcelona
Business,Economy Class,New York to London,April 2023,4.0,3.0,3.0,3.0,1.0,1.0,No,british-airways,New York,London
Couple Leisure,Business Class,Singapore to London,April 2023,4.0,2.0,1.0,5.0,3.0,1.0,No,british-airways,Singapore,London
Couple Leisure,Economy Class,Sweden to Los Angeles via London,January 2023,3.0,3.0,3.0,2.0,3.0,1.0,No,british-airways,Sweden,Los Angeles
Couple Leisure,Premium Economy,Seattle to Zagreb via London,April 2023,3.0,2.0,1.0,1.0,3.0,2.0,No,british-airways,Seattle,Zagreb
Family Leisure,Premium Economy,"Bangalore to Toronto via London, ",April 2023,2.0,1.0,2.0,3.0,1.0,1.0,No,british-airways,Bangalore,Toronto
Family Leisure,Economy Class,London to Denver,February 2023,2.0,1.0,1.0,3.0,1.0,2.0,No,british-airways,London,Denver
Solo Leisure,Premium Economy,London to Hong Kong,April 2023,4.0,5.0,4.0,3.0,4.0,4.0,Yes,british-airways,London,Hong Kong
Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,April 2023,1.0,4.0,1.0,3.0,1.0,1.0,No,british-airways,Brussels,Los Angeles
Couple Leisure,Economy Class,Copenhagen to London,April 2023,1.0,4.0,2.0,1.0,2.0,2.0,No,british-airways,Copenhagen,London
Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,2.0,3.0,4.0,1.0,No,british-airways,London,Denver
Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,1.0,1.0,2.0,2.0,No,british-airways,Hong Kong,London
Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,1.0,3.0,2.0,No,british-airways,Heathrow,Malaga
Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,1.0,1.0,3.0,1.0,No,british-airways,Santorini,Gatwick
Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,2.0,1.0,1.0,1.0,No,british-airways,Madrid,Belfast
Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Dublin,London
Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,1.0,2.0,2.0,No,british-airways,London,Venice
Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,1.0,4.0,4.0,1.0,No,british-airways,Las Vegas,London
Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,5.0,1.0,3.0,5.0,Yes,british-airways,Faro,Heathrow
Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3.0,2.0,3.0,No,british-airways,London,Atlanta
Couple Leisure,Economy Class,London to Copenhagen,April 2023,1.0,4.0,1.0,1.0,1.0,1.0,No,british-airways,London,Copenhagen
Couple Leisure,Economy Class,London to Malta,April 2023,3.0,1.0,2.0,1.0,1.0,1.0,No,british-airways,London,Malta
Couple Leisure,Economy Class,Belfast to London,April 2023,4.0,4.0,3.0,1.0,4.0,4.0,Yes,british-airways,Belfast,London
Business,Premium Economy,London to Hong Kong,April 2023,2.0,2.0,3.0,3.0,4.0,3.0,No,british-airways,London,Hong Kong
Family Leisure,Economy Class,Mumbai to Chicago via London,April 2023,4.0,1.0,5.0,5.0,1.0,1.0,No,british-airways,Mumbai,Chicago
Business,Business Class,London to New York,April 2023,3.0,2.0,2.0,2.0,3.0,2.0,No,british-airways,London,New York
Solo Leisure,Economy Class,Mumbai to London,March 2023,4.0,5.0,3.0,5.0,4.0,5.0,Yes,british-airways,Mumbai,London
Couple Leisure,Business Class,Mexico City to Amsterdam via London,March 2023,4.0,5.0,5.0,1.0,4.0,5.0,Yes,british-airways,Mexico City,Amsterdam
Business,Economy Class,Barcelona to London,March 2023,3.0,3.0,3.0,1.0,3.0,1.0,No,british-airways,Barcelona,London
Couple Leisure,Economy Class,London to Lanzarote,March 2023,3.0,2.0,1.0,1.0,2.0,3.0,No,british-airways,London,Lanzarote
Couple Leisure,Economy Class,Marrakech to London Heathrow,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Marrakech,London Heathrow
Couple Leisure,Economy Class,London Heathrow to Marrakech,March 2023,1.0,3.0,1.0,1.0,1.0,1.0,No,british-airways,London Heathrow,Marrakech
Family Leisure,Economy Class,London to Algiers,May 2022,1.0,1.0,1.0,1.0,1.0,2.0,No,british-airways,London,Algiers
Couple Leisure,Economy Class,Miami to Munich via London,March 2023,3.0,1.0,3.0,4.0,1.0,1.0,Yes,british-airways,Miami,Munich
Business,Economy Class,New York to London,March 2023,1.0,1.0,1.0,2.0,2.0,2.0,No,british-airways,New York,London
Couple Leisure,Economy Class,Cairo to London,March 2023,1.0,4.0,1.0,1.0,4.0,2.0,No,british-airways,Cairo,London
Solo Leisure,Premium Economy,Mumbai to Nassau via London,March 2023,4.0,4.0,2.0,3.0,3.0,3.0,Yes,british-airways,Mumbai,Nassau
Couple Leisure,First Class,Johannesburg to London,March 2023,4.0,5.0,4.0,4.0,1.0,2.0,No,british-airways,Johannesburg,London
Solo Leisure,Economy Class,Munich to London Heathrow,March 2023,3.0,3.0,1.0,1.0,1.0,1.0,No,british-airways,Munich,London Heathrow
Couple Leisure,Economy Class,Amsterdam to London,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Amsterdam,London
Couple Leisure,Economy Class,Heathrow to Belfast City,March 2023,3.0,3.0,3.0,1.0,1.0,1.0,No,british-airways,Heathrow,Belfast City
Couple Leisure,Economy Class,Gatwick to Dubrovnik,March 2023,1.0,3.0,2.0,1.0,5.0,5.0,Yes,british-airways,Gatwick,Dubrovnik
Business,Economy Class,London Heathrow to Amsterdam,March 2023,2.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,London Heathrow,Amsterdam
Solo Leisure,Economy Class,Zagreb to London Heathrow,March 2023,3.0,2.0,1.0,1.0,1.0,2.0,No,british-airways,Zagreb,London Heathrow
Couple Leisure,Premium Economy,New York JFK to Heathrow,March 2023,1.0,2.0,2.0,2.0,3.0,1.0,No,british-airways,New York JFK,Heathrow
Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Dublin,Orlando
Family Leisure,Economy Class,London Heathrow to Munich,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,London Heathrow,Munich
Business,Business Class,London to Dubai,December 2022,4.0,4.0,4.0,4.0,1.0,1.0,No,british-airways,London,Dubai
Solo Leisure,Economy Class,Geneva to London,March 2023,2.0,3.0,3.0,1.0,1.0,2.0,No,british-airways,Geneva,London
Family Leisure,Economy Class,Prague to London,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Prague,London
Business,Economy Class,Heathrow to Glasgow,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Heathrow,Glasgow
Business,Economy Class,London Heathrow to Arlanda Stockholm,March 2023,5.0,5.0,2.0,1.0,5.0,5.0,Yes,british-airways,London Heathrow,Arlanda Stockholm
Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,March 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Portland,Tel Aviv
Solo Leisure,Business Class,Heathrow to Milan Malpensa,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Heathrow,Milan Malpensa
Solo Leisure,Economy Class,London to Los Angeles,March 2023,1.0,2.0,1.0,1.0,3.0,1.0,No,british-airways,London,Los Angeles
Solo Leisure,Economy Class,New York to Istanbul via London,March 2023,5.0,5.0,5.0,5.0,5.0,5.0,Yes,british-airways,New York,Istanbul
Couple Leisure,Premium Economy,London Heathrow to Las Vegas,March 2023,3.0,2.0,1.0,4.0,2.0,3.0,No,british-airways,London Heathrow,Las Vegas
Business,Business Class,London to Cairo,January 2023,1.0,2.0,1.0,1.0,3.0,1.0,No,british-airways,London,Cairo
Solo Leisure,Economy Class,London Singapore ,February 2023,3.0,5.0,5.0,4.0,5.0,4.0,Yes,british-airways,London Singapore ,London Singapore 
Business,Business Class,London to Dubai,February 2023,2.0,3.0,2.0,3.0,4.0,3.0,Yes,british-airways,London,Dubai
Business,Business Class,Brussels to London,February 2023,2.0,4.0,4.0,1.0,4.0,4.0,Yes,british-airways,Brussels,London
Family Leisure,Economy Class,Lyon to London,February 2023,1.0,4.0,1.0,1.0,1.0,1.0,No,british-airways,Lyon,London
Family Leisure,Economy Class,London to Lyon,February 2023,1.0,4.0,1.0,1.0,1.0,1.0,No,british-airways,London,Lyon
Couple Leisure,Economy Class,Faro to Gatwick ,February 2023,2.0,2.0,1.0,1.0,5.0,2.0,No,british-airways,Faro,Gatwick 
Family Leisure,Economy Class,Oslo to London,February 2023,3.0,3.0,1.0,1.0,2.0,3.0,No,british-airways,Oslo,London
Solo Leisure,Economy Class,London to Madrid,February 2023,2.0,1.0,1.0,1.0,1.0,2.0,No,british-airways,London,Madrid
Couple Leisure,Economy Class,Islamabad to London,February 2023,4.0,5.0,2.0,3.0,4.0,5.0,Yes,british-airways,Islamabad,London
Couple Leisure,Economy Class,Edinburgh to London,February 2023,3.0,2.0,1.0,1.0,1.0,1.0,No,british-airways,Edinburgh,London
Couple Leisure,Business Class,Mexico City to London,February 2023,5.0,5.0,4.0,4.0,5.0,5.0,Yes,british-airways,Mexico City,London
Solo Leisure,Economy Class,Palma to Gatwick,January 2023,5.0,5.0,5.0,1.0,5.0,5.0,Yes,british-airways,Palma,Gatwick
Family Leisure,Economy Class,London to Madrid,February 2023,5.0,5.0,5.0,1.0,5.0,5.0,Yes,british-airways,London,Madrid
Business,Economy Class,London Heathrow to Glasgow,January 2023,5.0,5.0,4.0,1.0,5.0,5.0,Yes,british-airways,London Heathrow,Glasgow
Couple Leisure,Premium Economy,London to Buenos Aires,January 2023,3.0,1.0,1.0,1.0,4.0,1.0,No,british-airways,London,Buenos Aires
Solo Leisure,Premium Economy,London to Vancouver,January 2023,4.0,4.0,1.0,1.0,4.0,1.0,No,british-airways,London,Vancouver
Solo Leisure,Economy Class,Faro to London,January 2023,1.0,2.0,1.0,1.0,4.0,3.0,No,british-airways,Faro,London
Solo Leisure,First Class,Heathrow to Johannesburg,January 2023,4.0,5.0,4.0,3.0,5.0,4.0,Yes,british-airways,Heathrow,Johannesburg
Couple Leisure,Business Class,Cape Town to London,January 2023,4.0,5.0,5.0,4.0,4.0,4.0,Yes,british-airways,Cape Town,London
Couple Leisure,Business Class,London to Male,January 2023,5.0,5.0,5.0,5.0,5.0,4.0,Yes,british-airways,London,Male
Solo Leisure,Business Class,London to Vienna,December 2022,3.0,2.0,1.0,1.0,1.0,1.0,No,british-airways,London,Vienna
Couple Leisure,Economy Class,Johannesburg to Los Angeles via London,January 2023,2.0,2.0,2.0,1.0,1.0,2.0,No,british-airways,Johannesburg,Los Angeles
Solo Leisure,Economy Class,London Gatwick to Alicante,January 2023,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,London Gatwick,Alicante
Family Leisure,Economy Class,London to Tel Aviv,December 2022,4.0,5.0,4.0,3.0,4.0,5.0,Yes,british-airways,London,Tel Aviv
Couple Leisure,Business Class,London Heathrow to Cape Town,January 2023,3.0,5.0,5.0,5.0,4.0,4.0,Yes,british-airways,London Heathrow,Cape Town
Solo Leisure,Economy Class,Gatwick to Dublin,January 2023,3.0,5.0,1.0,1.0,1.0,1.0,No,british-airways,Gatwick,Dublin
Solo Leisure,Premium Economy,London Heathrow to Athens Greece ,April 2022,3.0,4.0,1.0,1.0,3.0,1.0,No,british-airways,London Heathrow,Athens Greece 
Family Leisure,Economy Class,Atlanta to London,January 2023,1.0,1.0,1.0,3.0,1.0,2.0,No,british-airways,Atlanta,London
Family Leisure,Economy Class,London to Chicago,December 2022,3.0,2.0,3.0,4.0,3.0,2.0,No,british-airways,London,Chicago
Family Leisure,Economy Class,Istanbul to Vancouver via Heathrow,January 2023,1.0,5.0,1.0,1.0,1.0,1.0,No,british-airways,Istanbul,Vancouver
Family Leisure,Business Class,Vienna to Los Angeles via London Heathrow,January 2023,1.0,2.0,1.0,1.0,1.0,1.0,No,british-airways,Vienna,Los Angeles
Business,Business Class,London to San francisco,January 2023,2.0,5.0,2.0,1.0,2.0,1.0,No,british-airways,London,San francisco
Business,Economy Class,London to Belfast,January 2023,4.0,5.0,3.0,1.0,5.0,4.0,Yes,british-airways,London,Belfast
Business,Economy Class,Doha to London,December 2022,5.0,3.0,1.0,1.0,5.0,4.0,No,british-airways,Doha,London
Couple Leisure,Business Class,London to Barbados,December 2022,3.0,4.0,4.0,2.0,4.0,3.0,No,british-airways,London,Barbados
Solo Leisure,Premium Economy,London Gatwick to Cape Town,December 2022,3.0,4.0,4.0,2.0,2.0,3.0,No,british-airways,London Gatwick,Cape Town
Solo Leisure,Business Class,Cape Town to London,December 2022,4.0,3.0,2.0,2.0,1.0,2.0,No,british-airways,Cape Town,London
Solo Leisure,Economy Class,London Heathrow to Frankfurt,December 2022,3.0,3.0,1.0,1.0,1.0,1.0,No,british-airways,London Heathrow,Frankfurt
Family Leisure,Economy Class,Vancouver to Delhi via London,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,No,british-airways,Vancouver,Delhi
Couple Leisure,Economy Class,Marseille to London,December 2022,3.0,3.0,2.0,1.0,4.0,5.0,Yes,british-airways,Marseille,London
Couple Leisure,First Class,London to Male,December 2022,2.0,2.0,1.0,1.0,3.0,1.0,No,british-airways,London,Male
Solo Leisure,Economy Class,Keflavik to London Heathrow,December 2022,2.0,3.0,1.0,1.0,1.0,1.0,No,british-airways,Keflavik,London Heathrow
Business,Business Class,London Heathrow to Frankfurt,October 2022,3.0,4.0,3.0,1.0,1.0,1.0,No,british-airways,London Heathrow,Frankfurt
Solo Leisure,Economy Class,London Heathrow to Bangkok via Doha,December 2022,2.0,2.0,2.0,2.0,1.0,1.0,No,british-airways,London Heathrow,Bangkok
